Genome	Similarity	evaluation_type	Tree_genome	metric	value
Acidobacterium_capsulatum_ATCC_51196	97.0	consensus	Evolved	NGA50	964.0
Acidobacterium_capsulatum_ATCC_51196	97.0	strain	Ancestor	NGA50	921.0
Acidobacterium_capsulatum_ATCC_51196	97.0	strain	Evolved	NGA50	925.0
Acidobacterium_capsulatum_ATCC_51196	97.5	consensus	Ancestor	NGA50	879.0
Acidobacterium_capsulatum_ATCC_51196	97.5	consensus	Evolved	NGA50	871.0
Acidobacterium_capsulatum_ATCC_51196	97.5	strain	Ancestor	NGA50	786.0
Acidobacterium_capsulatum_ATCC_51196	97.5	strain	Evolved	NGA50	781.0
Acidobacterium_capsulatum_ATCC_51196	98.0	consensus	Ancestor	NGA50	949.0
Acidobacterium_capsulatum_ATCC_51196	98.0	consensus	Evolved	NGA50	953.0
Acidobacterium_capsulatum_ATCC_51196	98.0	strain	Ancestor	NGA50	703.0
Acidobacterium_capsulatum_ATCC_51196	98.0	strain	Evolved	NGA50	696.0
Acidobacterium_capsulatum_ATCC_51196	98.5	consensus	Ancestor	NGA50	1615.0
Acidobacterium_capsulatum_ATCC_51196	98.5	consensus	Evolved	NGA50	1645.0
Acidobacterium_capsulatum_ATCC_51196	98.5	strain	Ancestor	NGA50	668.0
Acidobacterium_capsulatum_ATCC_51196	98.5	strain	Evolved	NGA50	634.0
Acidobacterium_capsulatum_ATCC_51196	99.0	consensus	Ancestor	NGA50	3661.0
Acidobacterium_capsulatum_ATCC_51196	99.0	consensus	Evolved	NGA50	3631.0
Acidobacterium_capsulatum_ATCC_51196	99.0	strain	Ancestor	NGA50	778.0
Acidobacterium_capsulatum_ATCC_51196	99.0	strain	Evolved	NGA50	NA
Acidobacterium_capsulatum_ATCC_51196	99.5	consensus	Ancestor	NGA50	9994.0
Acidobacterium_capsulatum_ATCC_51196	99.5	consensus	Evolved	NGA50	9994.0
Acidobacterium_capsulatum_ATCC_51196	99.5	strain	Ancestor	NGA50	1851.0
Acidobacterium_capsulatum_ATCC_51196	99.5	strain	Evolved	NGA50	NA
Aeropyrum_pernix	90.0	consensus	Ancestor	NGA50	41053.0
Aeropyrum_pernix	90.0	consensus	Evolved	NGA50	47410.0
Aeropyrum_pernix	90.0	strain	Ancestor	NGA50	41053.0
Aeropyrum_pernix	90.0	strain	Evolved	NGA50	47410.0
Aeropyrum_pernix	90.5	consensus	Ancestor	NGA50	47410.0
Aeropyrum_pernix	90.5	consensus	Evolved	NGA50	61977.0
Aeropyrum_pernix	90.5	strain	Ancestor	NGA50	47410.0
Aeropyrum_pernix	90.5	strain	Evolved	NGA50	61977.0
Aeropyrum_pernix	91.0	consensus	Ancestor	NGA50	30089.0
Aeropyrum_pernix	91.0	consensus	Evolved	NGA50	37378.0
Aeropyrum_pernix	91.0	strain	Ancestor	NGA50	30089.0
Aeropyrum_pernix	91.0	strain	Evolved	NGA50	37378.0
Aeropyrum_pernix	91.5	consensus	Ancestor	NGA50	21192.0
Aeropyrum_pernix	91.5	consensus	Evolved	NGA50	25913.0
Aeropyrum_pernix	91.5	strain	Ancestor	NGA50	21192.0
Aeropyrum_pernix	91.5	strain	Evolved	NGA50	25913.0
Aeropyrum_pernix	92.0	consensus	Ancestor	NGA50	22580.0
Aeropyrum_pernix	92.0	consensus	Evolved	NGA50	23832.0
Aeropyrum_pernix	92.0	strain	Ancestor	NGA50	22580.0
Aeropyrum_pernix	92.0	strain	Evolved	NGA50	23832.0
Aeropyrum_pernix	92.5	consensus	Ancestor	NGA50	11790.0
Aeropyrum_pernix	92.5	consensus	Evolved	NGA50	13462.0
Aeropyrum_pernix	92.5	strain	Ancestor	NGA50	11790.0
Aeropyrum_pernix	92.5	strain	Evolved	NGA50	13462.0
Aeropyrum_pernix	93.0	consensus	Ancestor	NGA50	8628.0
Aeropyrum_pernix	93.0	consensus	Evolved	NGA50	8876.0
Aeropyrum_pernix	93.0	strain	Ancestor	NGA50	8628.0
Aeropyrum_pernix	93.0	strain	Evolved	NGA50	8876.0
Aeropyrum_pernix	93.5	consensus	Ancestor	NGA50	6494.0
Aeropyrum_pernix	93.5	consensus	Evolved	NGA50	6640.0
Aeropyrum_pernix	93.5	strain	Ancestor	NGA50	6494.0
Aeropyrum_pernix	93.5	strain	Evolved	NGA50	6640.0
Aeropyrum_pernix	94.0	consensus	Ancestor	NGA50	4709.0
Aeropyrum_pernix	94.0	consensus	Evolved	NGA50	5251.0
Aeropyrum_pernix	94.0	strain	Ancestor	NGA50	4705.0
Aeropyrum_pernix	94.0	strain	Evolved	NGA50	5251.0
Aeropyrum_pernix	94.5	consensus	Ancestor	NGA50	3484.0
Aeropyrum_pernix	94.5	consensus	Evolved	NGA50	3662.0
Aeropyrum_pernix	94.5	strain	Ancestor	NGA50	3445.0
Aeropyrum_pernix	94.5	strain	Evolved	NGA50	3616.0
Aeropyrum_pernix	95.0	consensus	Ancestor	NGA50	2778.0
Aeropyrum_pernix	95.0	consensus	Evolved	NGA50	2845.0
Aeropyrum_pernix	95.0	strain	Ancestor	NGA50	2772.0
Aeropyrum_pernix	95.0	strain	Evolved	NGA50	2822.0
Aeropyrum_pernix	95.5	consensus	Ancestor	NGA50	1992.0
Aeropyrum_pernix	95.5	consensus	Evolved	NGA50	2009.0
Aeropyrum_pernix	95.5	strain	Ancestor	NGA50	1978.0
Aeropyrum_pernix	95.5	strain	Evolved	NGA50	2001.0
Aeropyrum_pernix	96.0	consensus	Ancestor	NGA50	1518.0
Aeropyrum_pernix	96.0	consensus	Evolved	NGA50	1541.0
Aeropyrum_pernix	96.0	strain	Ancestor	NGA50	1502.0
Aeropyrum_pernix	96.0	strain	Evolved	NGA50	1523.0
Aeropyrum_pernix	96.5	consensus	Ancestor	NGA50	1191.0
Aeropyrum_pernix	96.5	consensus	Evolved	NGA50	1186.0
Aeropyrum_pernix	96.5	strain	Ancestor	NGA50	1177.0
Aeropyrum_pernix	96.5	strain	Evolved	NGA50	1175.0
Aeropyrum_pernix	97.0	consensus	Ancestor	NGA50	951.0
Aeropyrum_pernix	97.0	consensus	Evolved	NGA50	954.0
Aeropyrum_pernix	97.0	strain	Ancestor	NGA50	913.0
Aeropyrum_pernix	97.0	strain	Evolved	NGA50	927.0
Aeropyrum_pernix	97.5	consensus	Ancestor	NGA50	872.0
Aeropyrum_pernix	97.5	consensus	Evolved	NGA50	872.0
Aeropyrum_pernix	97.5	strain	Ancestor	NGA50	787.0
Aeropyrum_pernix	97.5	strain	Evolved	NGA50	777.0
Aeropyrum_pernix	98.0	consensus	Ancestor	NGA50	999.0
Aeropyrum_pernix	98.0	consensus	Evolved	NGA50	981.0
Aeropyrum_pernix	98.0	strain	Ancestor	NGA50	725.0
Aeropyrum_pernix	98.0	strain	Evolved	NGA50	681.0
Aeropyrum_pernix	98.5	consensus	Ancestor	NGA50	1760.0
Aeropyrum_pernix	98.5	consensus	Evolved	NGA50	1715.0
Aeropyrum_pernix	98.5	strain	Ancestor	NGA50	676.0
Aeropyrum_pernix	98.5	strain	Evolved	NGA50	633.0
Aeropyrum_pernix	99.0	consensus	Ancestor	NGA50	4245.0
Aeropyrum_pernix	99.0	consensus	Evolved	NGA50	4245.0
Aeropyrum_pernix	99.0	strain	Ancestor	NGA50	567.0
Aeropyrum_pernix	99.0	strain	Evolved	NGA50	667.0
Aeropyrum_pernix	99.5	consensus	Ancestor	NGA50	11036.0
Aeropyrum_pernix	99.5	consensus	Evolved	NGA50	11036.0
Aeropyrum_pernix	99.5	strain	Ancestor	NGA50	NA
Aeropyrum_pernix	99.5	strain	Evolved	NGA50	4949.0
Aquifex_aeolicus	90.0	consensus	Ancestor	NGA50	39674.0
Aquifex_aeolicus	90.0	consensus	Evolved	NGA50	59538.0
Aquifex_aeolicus	90.0	strain	Ancestor	NGA50	39674.0
Aquifex_aeolicus	90.0	strain	Evolved	NGA50	59538.0
Aquifex_aeolicus	90.5	consensus	Ancestor	NGA50	36201.0
Aquifex_aeolicus	90.5	consensus	Evolved	NGA50	52225.0
Aquifex_aeolicus	90.5	strain	Ancestor	NGA50	36201.0
Aquifex_aeolicus	90.5	strain	Evolved	NGA50	52225.0
Aquifex_aeolicus	91.0	consensus	Ancestor	NGA50	26129.0
Aquifex_aeolicus	91.0	consensus	Evolved	NGA50	27411.0
Aquifex_aeolicus	91.0	strain	Ancestor	NGA50	26129.0
Aquifex_aeolicus	91.0	strain	Evolved	NGA50	27411.0
Aquifex_aeolicus	91.5	consensus	Ancestor	NGA50	21271.0
Aquifex_aeolicus	91.5	consensus	Evolved	NGA50	23109.0
Aquifex_aeolicus	91.5	strain	Ancestor	NGA50	21271.0
Aquifex_aeolicus	91.5	strain	Evolved	NGA50	23109.0
Aquifex_aeolicus	92.0	consensus	Ancestor	NGA50	16647.0
Aquifex_aeolicus	92.0	consensus	Evolved	NGA50	16568.0
Aquifex_aeolicus	92.0	strain	Ancestor	NGA50	16647.0
Aquifex_aeolicus	92.0	strain	Evolved	NGA50	16568.0
Aquifex_aeolicus	92.5	consensus	Ancestor	NGA50	12919.0
Aquifex_aeolicus	92.5	consensus	Evolved	NGA50	12953.0
Aquifex_aeolicus	92.5	strain	Ancestor	NGA50	12919.0
Aquifex_aeolicus	92.5	strain	Evolved	NGA50	12953.0
Aquifex_aeolicus	93.0	consensus	Ancestor	NGA50	8924.0
Aquifex_aeolicus	93.0	consensus	Evolved	NGA50	9284.0
Aquifex_aeolicus	93.0	strain	Ancestor	NGA50	8924.0
Aquifex_aeolicus	93.0	strain	Evolved	NGA50	9284.0
Aquifex_aeolicus	93.5	consensus	Ancestor	NGA50	5788.0
Aquifex_aeolicus	93.5	consensus	Evolved	NGA50	6310.0
Aquifex_aeolicus	93.5	strain	Ancestor	NGA50	5788.0
Aquifex_aeolicus	93.5	strain	Evolved	NGA50	6310.0
Aquifex_aeolicus	94.0	consensus	Ancestor	NGA50	4797.0
Aquifex_aeolicus	94.0	consensus	Evolved	NGA50	4850.0
Aquifex_aeolicus	94.0	strain	Ancestor	NGA50	4797.0
Aquifex_aeolicus	94.0	strain	Evolved	NGA50	4850.0
Aquifex_aeolicus	94.5	consensus	Ancestor	NGA50	3602.0
Aquifex_aeolicus	94.5	consensus	Evolved	NGA50	3589.0
Aquifex_aeolicus	94.5	strain	Ancestor	NGA50	3602.0
Aquifex_aeolicus	94.5	strain	Evolved	NGA50	3589.0
Aquifex_aeolicus	95.0	consensus	Ancestor	NGA50	2691.0
Aquifex_aeolicus	95.0	consensus	Evolved	NGA50	2745.0
Aquifex_aeolicus	95.0	strain	Ancestor	NGA50	2687.0
Aquifex_aeolicus	95.0	strain	Evolved	NGA50	2721.0
Aquifex_aeolicus	95.5	consensus	Ancestor	NGA50	1940.0
Aquifex_aeolicus	95.5	consensus	Evolved	NGA50	1966.0
Aquifex_aeolicus	95.5	strain	Ancestor	NGA50	1927.0
Aquifex_aeolicus	95.5	strain	Evolved	NGA50	1927.0
Aquifex_aeolicus	96.0	consensus	Ancestor	NGA50	1508.0
Aquifex_aeolicus	96.0	consensus	Evolved	NGA50	1528.0
Aquifex_aeolicus	96.0	strain	Ancestor	NGA50	1496.0
Aquifex_aeolicus	96.0	strain	Evolved	NGA50	1511.0
Aquifex_aeolicus	96.5	consensus	Ancestor	NGA50	1125.0
Aquifex_aeolicus	96.5	consensus	Evolved	NGA50	1155.0
Aquifex_aeolicus	96.5	strain	Ancestor	NGA50	1111.0
Aquifex_aeolicus	96.5	strain	Evolved	NGA50	1139.0
Aquifex_aeolicus	97.0	consensus	Ancestor	NGA50	946.0
Aquifex_aeolicus	97.0	consensus	Evolved	NGA50	966.0
Aquifex_aeolicus	97.0	strain	Ancestor	NGA50	901.0
Aquifex_aeolicus	97.0	strain	Evolved	NGA50	929.0
Aquifex_aeolicus	97.5	consensus	Ancestor	NGA50	848.0
Aquifex_aeolicus	97.5	consensus	Evolved	NGA50	847.0
Aquifex_aeolicus	97.5	strain	Ancestor	NGA50	748.0
Aquifex_aeolicus	97.5	strain	Evolved	NGA50	765.0
Aquifex_aeolicus	98.0	consensus	Ancestor	NGA50	941.0
Aquifex_aeolicus	98.0	consensus	Evolved	NGA50	917.0
Aquifex_aeolicus	98.0	strain	Ancestor	NGA50	734.0
Aquifex_aeolicus	98.0	strain	Evolved	NGA50	682.0
Aquifex_aeolicus	98.5	consensus	Ancestor	NGA50	1681.0
Aquifex_aeolicus	98.5	consensus	Evolved	NGA50	1597.0
Aquifex_aeolicus	98.5	strain	Ancestor	NGA50	698.0
Aquifex_aeolicus	98.5	strain	Evolved	NGA50	623.0
Aquifex_aeolicus	99.0	consensus	Ancestor	NGA50	4003.0
Aquifex_aeolicus	99.0	consensus	Evolved	NGA50	3954.0
Aquifex_aeolicus	99.0	strain	Ancestor	NGA50	809.0
Aquifex_aeolicus	99.0	strain	Evolved	NGA50	NA
Aquifex_aeolicus	99.5	consensus	Ancestor	NGA50	9323.0
Aquifex_aeolicus	99.5	consensus	Evolved	NGA50	9323.0
Aquifex_aeolicus	99.5	strain	Ancestor	NGA50	NA
Aquifex_aeolicus	99.5	strain	Evolved	NGA50	572.0
Archaeoglobus_fulgidus	90.0	consensus	Ancestor	NGA50	37585.0
Archaeoglobus_fulgidus	90.0	consensus	Evolved	NGA50	61726.0
Archaeoglobus_fulgidus	90.0	strain	Ancestor	NGA50	37585.0
Archaeoglobus_fulgidus	90.0	strain	Evolved	NGA50	61726.0
Archaeoglobus_fulgidus	90.5	consensus	Ancestor	NGA50	32392.0
Archaeoglobus_fulgidus	90.5	consensus	Evolved	NGA50	49819.0
Archaeoglobus_fulgidus	90.5	strain	Ancestor	NGA50	32392.0
Archaeoglobus_fulgidus	90.5	strain	Evolved	NGA50	49819.0
Archaeoglobus_fulgidus	91.0	consensus	Ancestor	NGA50	21144.0
Archaeoglobus_fulgidus	91.0	consensus	Evolved	NGA50	33475.0
Archaeoglobus_fulgidus	91.0	strain	Ancestor	NGA50	21144.0
Archaeoglobus_fulgidus	91.0	strain	Evolved	NGA50	33475.0
Archaeoglobus_fulgidus	91.5	consensus	Ancestor	NGA50	20974.0
Archaeoglobus_fulgidus	91.5	consensus	Evolved	NGA50	24764.0
Archaeoglobus_fulgidus	91.5	strain	Ancestor	NGA50	20974.0
Archaeoglobus_fulgidus	91.5	strain	Evolved	NGA50	24764.0
Archaeoglobus_fulgidus	92.0	consensus	Ancestor	NGA50	13997.0
Archaeoglobus_fulgidus	92.0	consensus	Evolved	NGA50	16799.0
Archaeoglobus_fulgidus	92.0	strain	Ancestor	NGA50	13997.0
Archaeoglobus_fulgidus	92.0	strain	Evolved	NGA50	16799.0
Archaeoglobus_fulgidus	92.5	consensus	Ancestor	NGA50	11160.0
Archaeoglobus_fulgidus	92.5	consensus	Evolved	NGA50	13330.0
Archaeoglobus_fulgidus	92.5	strain	Ancestor	NGA50	11160.0
Archaeoglobus_fulgidus	92.5	strain	Evolved	NGA50	13330.0
Archaeoglobus_fulgidus	93.0	consensus	Ancestor	NGA50	8188.0
Archaeoglobus_fulgidus	93.0	consensus	Evolved	NGA50	9357.0
Archaeoglobus_fulgidus	93.0	strain	Ancestor	NGA50	8188.0
Archaeoglobus_fulgidus	93.0	strain	Evolved	NGA50	9357.0
Archaeoglobus_fulgidus	93.5	consensus	Ancestor	NGA50	5970.0
Archaeoglobus_fulgidus	93.5	consensus	Evolved	NGA50	6389.0
Archaeoglobus_fulgidus	93.5	strain	Ancestor	NGA50	5970.0
Archaeoglobus_fulgidus	93.5	strain	Evolved	NGA50	6328.0
Archaeoglobus_fulgidus	94.0	consensus	Ancestor	NGA50	4907.0
Archaeoglobus_fulgidus	94.0	consensus	Evolved	NGA50	5109.0
Archaeoglobus_fulgidus	94.0	strain	Ancestor	NGA50	4907.0
Archaeoglobus_fulgidus	94.0	strain	Evolved	NGA50	5108.0
Archaeoglobus_fulgidus	94.5	consensus	Ancestor	NGA50	3516.0
Archaeoglobus_fulgidus	94.5	consensus	Evolved	NGA50	3811.0
Archaeoglobus_fulgidus	94.5	strain	Ancestor	NGA50	3514.0
Archaeoglobus_fulgidus	94.5	strain	Evolved	NGA50	3811.0
Archaeoglobus_fulgidus	95.0	consensus	Ancestor	NGA50	2706.0
Archaeoglobus_fulgidus	95.0	consensus	Evolved	NGA50	2712.0
Archaeoglobus_fulgidus	95.0	strain	Ancestor	NGA50	2699.0
Archaeoglobus_fulgidus	95.0	strain	Evolved	NGA50	2697.0
Archaeoglobus_fulgidus	95.5	consensus	Ancestor	NGA50	2131.0
Archaeoglobus_fulgidus	95.5	consensus	Evolved	NGA50	2143.0
Archaeoglobus_fulgidus	95.5	strain	Ancestor	NGA50	2116.0
Archaeoglobus_fulgidus	95.5	strain	Evolved	NGA50	2128.0
Archaeoglobus_fulgidus	96.0	consensus	Ancestor	NGA50	1565.0
Archaeoglobus_fulgidus	96.0	consensus	Evolved	NGA50	1601.0
Archaeoglobus_fulgidus	96.0	strain	Ancestor	NGA50	1557.0
Archaeoglobus_fulgidus	96.0	strain	Evolved	NGA50	1587.0
Archaeoglobus_fulgidus	96.5	consensus	Ancestor	NGA50	1185.0
Archaeoglobus_fulgidus	96.5	consensus	Evolved	NGA50	1200.0
Archaeoglobus_fulgidus	96.5	strain	Ancestor	NGA50	1158.0
Archaeoglobus_fulgidus	96.5	strain	Evolved	NGA50	1178.0
Archaeoglobus_fulgidus	97.0	consensus	Ancestor	NGA50	940.0
Archaeoglobus_fulgidus	97.0	consensus	Evolved	NGA50	980.0
Archaeoglobus_fulgidus	97.0	strain	Ancestor	NGA50	906.0
Archaeoglobus_fulgidus	97.0	strain	Evolved	NGA50	937.0
Archaeoglobus_fulgidus	97.5	consensus	Ancestor	NGA50	899.0
Archaeoglobus_fulgidus	97.5	consensus	Evolved	NGA50	901.0
Archaeoglobus_fulgidus	97.5	strain	Ancestor	NGA50	797.0
Archaeoglobus_fulgidus	97.5	strain	Evolved	NGA50	818.0
Archaeoglobus_fulgidus	98.0	consensus	Ancestor	NGA50	922.0
Archaeoglobus_fulgidus	98.0	consensus	Evolved	NGA50	924.0
Archaeoglobus_fulgidus	98.0	strain	Ancestor	NGA50	699.0
Archaeoglobus_fulgidus	98.0	strain	Evolved	NGA50	678.0
Archaeoglobus_fulgidus	98.5	consensus	Ancestor	NGA50	1546.0
Archaeoglobus_fulgidus	98.5	consensus	Evolved	NGA50	1534.0
Archaeoglobus_fulgidus	98.5	strain	Ancestor	NGA50	672.0
Archaeoglobus_fulgidus	98.5	strain	Evolved	NGA50	626.0
Archaeoglobus_fulgidus	99.0	consensus	Ancestor	NGA50	3564.0
Archaeoglobus_fulgidus	99.0	consensus	Evolved	NGA50	3642.0
Archaeoglobus_fulgidus	99.0	strain	Ancestor	NGA50	642.0
Archaeoglobus_fulgidus	99.0	strain	Evolved	NGA50	546.0
Archaeoglobus_fulgidus	99.5	consensus	Ancestor	NGA50	7921.0
Archaeoglobus_fulgidus	99.5	consensus	Evolved	NGA50	7710.0
Archaeoglobus_fulgidus	99.5	strain	Ancestor	NGA50	3390.0
Archaeoglobus_fulgidus	99.5	strain	Evolved	NGA50	NA
Bacillus_anthracis_str._Ames	90.0	consensus	Ancestor	NGA50	35748.0
Bacillus_anthracis_str._Ames	90.0	consensus	Evolved	NGA50	40828.0
Bacillus_anthracis_str._Ames	90.0	strain	Ancestor	NGA50	35748.0
Bacillus_anthracis_str._Ames	90.0	strain	Evolved	NGA50	40828.0
Bacillus_anthracis_str._Ames	90.5	consensus	Ancestor	NGA50	32987.0
Bacillus_anthracis_str._Ames	90.5	consensus	Evolved	NGA50	37006.0
Bacillus_anthracis_str._Ames	90.5	strain	Ancestor	NGA50	32987.0
Bacillus_anthracis_str._Ames	90.5	strain	Evolved	NGA50	37006.0
Bacillus_anthracis_str._Ames	91.0	consensus	Ancestor	NGA50	21858.0
Bacillus_anthracis_str._Ames	91.0	consensus	Evolved	NGA50	27319.0
Bacillus_anthracis_str._Ames	91.0	strain	Ancestor	NGA50	21858.0
Bacillus_anthracis_str._Ames	91.0	strain	Evolved	NGA50	27319.0
Bacillus_anthracis_str._Ames	91.5	consensus	Ancestor	NGA50	18800.0
Bacillus_anthracis_str._Ames	91.5	consensus	Evolved	NGA50	22363.0
Bacillus_anthracis_str._Ames	91.5	strain	Ancestor	NGA50	18800.0
Bacillus_anthracis_str._Ames	91.5	strain	Evolved	NGA50	22363.0
Bacillus_anthracis_str._Ames	92.0	consensus	Ancestor	NGA50	15133.0
Bacillus_anthracis_str._Ames	92.0	consensus	Evolved	NGA50	15597.0
Bacillus_anthracis_str._Ames	92.0	strain	Ancestor	NGA50	15133.0
Bacillus_anthracis_str._Ames	92.0	strain	Evolved	NGA50	15597.0
Bacillus_anthracis_str._Ames	92.5	consensus	Ancestor	NGA50	11000.0
Bacillus_anthracis_str._Ames	92.5	consensus	Evolved	NGA50	11521.0
Bacillus_anthracis_str._Ames	92.5	strain	Ancestor	NGA50	10729.0
Bacillus_anthracis_str._Ames	92.5	strain	Evolved	NGA50	11521.0
Bacillus_anthracis_str._Ames	93.0	consensus	Ancestor	NGA50	8426.0
Bacillus_anthracis_str._Ames	93.0	consensus	Evolved	NGA50	8969.0
Bacillus_anthracis_str._Ames	93.0	strain	Ancestor	NGA50	8426.0
Bacillus_anthracis_str._Ames	93.0	strain	Evolved	NGA50	8969.0
Bacillus_anthracis_str._Ames	93.5	consensus	Ancestor	NGA50	5955.0
Bacillus_anthracis_str._Ames	93.5	consensus	Evolved	NGA50	6177.0
Bacillus_anthracis_str._Ames	93.5	strain	Ancestor	NGA50	5955.0
Bacillus_anthracis_str._Ames	93.5	strain	Evolved	NGA50	6124.0
Bacillus_anthracis_str._Ames	94.0	consensus	Ancestor	NGA50	4371.0
Bacillus_anthracis_str._Ames	94.0	consensus	Evolved	NGA50	4445.0
Bacillus_anthracis_str._Ames	94.0	strain	Ancestor	NGA50	4345.0
Bacillus_anthracis_str._Ames	94.0	strain	Evolved	NGA50	4438.0
Bacillus_anthracis_str._Ames	94.5	consensus	Ancestor	NGA50	3313.0
Bacillus_anthracis_str._Ames	94.5	consensus	Evolved	NGA50	3338.0
Bacillus_anthracis_str._Ames	94.5	strain	Ancestor	NGA50	3304.0
Bacillus_anthracis_str._Ames	94.5	strain	Evolved	NGA50	3327.0
Bacillus_anthracis_str._Ames	95.0	consensus	Ancestor	NGA50	2496.0
Bacillus_anthracis_str._Ames	95.0	consensus	Evolved	NGA50	2532.0
Bacillus_anthracis_str._Ames	95.0	strain	Ancestor	NGA50	2495.0
Bacillus_anthracis_str._Ames	95.0	strain	Evolved	NGA50	2514.0
